Case_ID,Scope,Tier,Stage,Member_ID,Geo,Status,Pre_Max,Contributors_N,Required_N
TP004,TH,T1,A_MEMBER_GEO,TP004,TH,OK,51.0000000000,1,1
TP004,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
TP004,TH,T1,D_POST_SA,,TH,OK,100.7868255114,1,1
TU001,TH,T1,A_MEMBER_GEO,TU001,TH,OK,89.0000000000,1,1
TU001,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
TU001,TH,T1,D_POST_SA,,TH,OK,97.7301204029,1,1
TU002,TH,T1,A_MEMBER_GEO,TU002,TH,OK,100.0000000000,1,1
TU002,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
TU002,TH,T1,D_POST_SA,,TH,OK,113.4408921056,1,1
TU003,TH,T1,A_MEMBER_GEO,TU003,TH,OK,73.0000000000,1,1
TU003,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
TU003,TH,T1,D_POST_SA,,TH,OK,96.6718273118,1,1
TU004,TH,T1,A_MEMBER_GEO,TU004,TH,OK,67.0000000000,1,1
TU004,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
TU004,TH,T1,D_POST_SA,,TH,OK,92.6777072050,1,1
TU005,TH,T1,A_MEMBER_GEO,TU005,TH,OK,99.0000000000,1,1
TU005,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
TU005,TH,T1,D_POST_SA,,TH,OK,96.8769999159,1,1
NP001,TH,T1,A_MEMBER_GEO,NP001,TH,OK,100.0000000000,1,1
NP001,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
NP001,TH,T1,D_POST_SA,,TH,OK,99.6014205562,1,1
NP002,TH,T1,A_MEMBER_GEO,NP002,TH,OK,100.0000000000,1,1
NP002,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
NP002,TH,T1,D_POST_SA,,TH,OK,98.9785053254,1,1
NP003,TH,T1,A_MEMBER_GEO,NP003,TH,OK,100.0000000000,1,1
NP003,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
NP003,TH,T1,D_POST_SA,,TH,OK,97.2676525647,1,1
NP004,TH,T1,A_MEMBER_GEO,NP004,TH,OK,100.0000000000,1,1
NP004,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
NP004,TH,T1,D_POST_SA,,TH,OK,95.2822447435,1,1
NU001,TH,T1,A_MEMBER_GEO,NU001,TH,OK,100.0000000000,1,1
NU001,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
NU001,TH,T1,D_POST_SA,,TH,OK,98.7385529209,1,1
NU002,TH,T1,A_MEMBER_GEO,NU002,TH,OK,76.0000000000,1,1
NU002,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
NU002,TH,T1,D_POST_SA,,TH,OK,108.4796467533,1,1
NU003,TH,T1,A_MEMBER_GEO,NU003,TH,NO_SIGNAL,0.0000000000,1,1
NU003,TH,T1,C_SCOPE,,TH,NO_SIGNAL,0.0000000000,0,1
NU003,TH,T1,D_POST_SA,,TH,NO_SIGNAL,0.0000000000,0,1
NU004,TH,T1,A_MEMBER_GEO,NU004,TH,OK,100.0000000000,1,1
NU004,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
NU004,TH,T1,D_POST_SA,,TH,OK,97.4038628754,1,1
NP005,TH,T1,A_MEMBER_GEO,NP005,TH,OK,100.0000000000,1,1
NP005,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
NP005,TH,T1,D_POST_SA,,TH,OK,101.6366495859,1,1
NP006,TH,T1,A_MEMBER_GEO,NP006,TH,OK,100.0000000000,1,1
NP006,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
NP006,TH,T1,D_POST_SA,,TH,OK,99.2822283434,1,1
FU016,TH,T1,A_MEMBER_GEO,FU016,TH,OK,100.0000000000,1,1
FU016,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
FU016,TH,T1,D_POST_SA,,TH,OK,100.7170030744,1,1
FU017,TH,T1,A_MEMBER_GEO,FU017,TH,OK,100.0000000000,1,1
FU017,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
FU017,TH,T1,D_POST_SA,,TH,OK,93.7662132099,1,1
FP016,TH,T1,A_MEMBER_GEO,FP016,TH,OK,100.0000000000,1,1
FP016,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
FP016,TH,T1,D_POST_SA,,TH,OK,106.4511353944,1,1
FP017,TH,T1,A_MEMBER_GEO,FP017,TH,OK,100.0000000000,1,1
FP017,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
FP017,TH,T1,D_POST_SA,,TH,OK,97.0727179508,1,1
FP018,TH,T1,A_MEMBER_GEO,FP018,TH,OK,100.0000000000,1,1
FP018,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
FP018,TH,T1,D_POST_SA,,TH,OK,98.5587019121,1,1
FP019,TH,T1,A_MEMBER_GEO,FP019,TH,OK,90.0000000000,1,1
FP019,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
FP019,TH,T1,D_POST_SA,,TH,OK,89.7670678055,1,1
FP020,TH,T1,A_MEMBER_GEO,FP020,TH,OK,100.0000000000,1,1
FP020,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
FP020,TH,T1,D_POST_SA,,TH,OK,98.3720334644,1,1
FP021,TH,T1,A_MEMBER_GEO,FP021,TH,OK,100.0000000000,1,1
FP021,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
FP021,TH,T1,D_POST_SA,,TH,OK,96.2090008342,1,1
FP022,TH,T1,A_MEMBER_GEO,FP022,TH,OK,100.0000000000,1,1
FP022,TH,T1,C_SCOPE,,TH,OK,100.0000000000,1,1
FP022,TH,T1,D_POST_SA,,TH,OK,96.0103857069,1,1
