Case_ID,Scope,Method,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,Q_Without_M2,Q_With_M2,F_Stable_B1,F_Stable_B1_PValue,F_Stable_D8,F_Stable_D8_PValue,F_Moving_D8,F_Moving_D8_PValue,Kruskal_Wallis_Chi,Kruskal_Wallis_PValue,Accept_Status
FP008,REG_ISAN20,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
FP009,REG_ISAN20,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
FP010,REG_ISAN20,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
FP011,REG_ISAN20,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
FP012,REG_ISAN20,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
FP013,REG_ISAN20,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
FP014,REG_ISAN20,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
FU001,REG_ISAN20,STL_FALLBACK,,,,,,,,,,,,,,,,,,,,,,
FU002,REG_ISAN20,X13,3.0000000000,3.0000000000,1.5800000000,0.4020000000,3.0000000000,0.6410000000,1.4340000000,1.9190000000,0.6330000000,1.9500000000,1.7850000000,1.6500000000,,2.5890000000,0.0053000000,2.6780000000,0.0038000000,1.3400000000,0.2106000000,28.8660000000,0.0024000000,REJECTED
FU003,REG_ISAN20,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
FU004,REG_ISAN20,X13,2.3930000000,1.8680000000,0.3180000000,1.8340000000,3.0000000000,0.4980000000,2.1220000000,1.4510000000,1.1030000000,1.6810000000,1.1330000000,1.6500000000,,1.2970000000,0.2336000000,2.0040000000,0.0322000000,3.6860000000,0.0002000000,44.5800000000,0.0000000000,REJECTED
FU005,REG_ISAN20,X13,2.2020000000,1.4670000000,0.1110000000,3.0000000000,3.0000000000,0.2380000000,2.6750000000,3.0000000000,1.2890000000,3.0000000000,3.0000000000,2.0800000000,,1.1620000000,0.3199000000,1.0130000000,0.4383000000,2.4990000000,0.0073000000,9.3880000000,0.5861000000,REJECTED
FU006,REG_ISAN20,STL_FALLBACK,,,,,,,,,,,,,,,,,,,,,,
FU007,REG_ISAN20,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
FU008,REG_ISAN20,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
FU009,REG_ISAN20,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
FU010,REG_ISAN20,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
FU011,REG_ISAN20,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
FU012,REG_ISAN20,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
FU013,REG_ISAN20,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
