Case_ID,Scope,Method,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,Q_Without_M2,Q_With_M2,F_Stable_B1,F_Stable_B1_PValue,F_Stable_D8,F_Stable_D8_PValue,F_Moving_D8,F_Moving_D8_PValue,Kruskal_Wallis_Chi,Kruskal_Wallis_PValue,Accept_Status
TP003,TH,X13,3.0000000000,1.7340000000,1.5000000000,0.2930000000,3.0000000000,0.7890000000,1.0290000000,1.6680000000,0.6660000000,1.5240000000,1.2120000000,1.5100000000,,4.3180000000,0.0000000000,4.7820000000,0.0000000000,1.0410000000,0.4157000000,46.9850000000,0.0000000000,REJECTED
TP004,TH,X13,2.3280000000,0.5610000000,0.6410000000,0.5640000000,0.7890000000,0.3190000000,1.5970000000,1.4070000000,0.8850000000,0.9700000000,0.9170000000,1.1100000000,,3.2960000000,0.0004000000,4.0090000000,0.0000000000,4.4870000000,0.0000000000,45.8170000000,0.0000000000,CONDITIONALLY REJECTED
TU001,TH,X13,1.9810000000,0.7370000000,0.3410000000,0.4960000000,0.9750000000,0.6740000000,2.8070000000,2.0460000000,0.8730000000,3.0000000000,2.8020000000,1.5600000000,,0.6090000000,0.8194000000,0.8450000000,0.5953000000,2.1070000000,0.0141000000,27.2560000000,0.0042000000,REJECTED
TU002,TH,X13,3.0000000000,3.0000000000,2.2850000000,1.1050000000,3.0000000000,0.2910000000,2.9290000000,2.3940000000,0.8200000000,3.0000000000,3.0000000000,2.2100000000,,0.8920000000,0.5497000000,0.8580000000,0.5823000000,11.8120000000,0.0000000000,10.1150000000,0.5201000000,REJECTED
TU003,TH,X13,3.0000000000,3.0000000000,2.2240000000,0.2480000000,3.0000000000,0.4390000000,1.8100000000,2.2850000000,0.7150000000,2.6720000000,2.6100000000,1.8700000000,,2.6380000000,0.0040000000,2.8750000000,0.0017000000,3.9430000000,0.0000000000,37.9840000000,0.0001000000,REJECTED
TU004,TH,X13,3.0000000000,2.2800000000,1.7060000000,0.1130000000,3.0000000000,0.5570000000,1.3490000000,1.7650000000,0.6170000000,1.6620000000,1.4580000000,1.5700000000,,4.0540000000,0.0000000000,4.1890000000,0.0000000000,2.7460000000,0.0012000000,40.6930000000,0.0000000000,REJECTED
TU005,TH,X13,3.0000000000,1.3580000000,1.0120000000,0.3830000000,0.7120000000,0.2330000000,1.3410000000,2.2180000000,0.8180000000,2.5260000000,2.1860000000,1.3200000000,,2.8550000000,0.0019000000,3.4700000000,0.0002000000,1.8280000000,0.0389000000,27.9500000000,0.0033000000,REJECTED
NP001,TH,X13,3.0000000000,0.3200000000,0.5800000000,0.7660000000,0.9070000000,0.2440000000,2.6870000000,2.2540000000,0.7290000000,3.0000000000,2.8030000000,1.6500000000,,0.8640000000,0.5770000000,1.2860000000,0.2359000000,5.7590000000,0.0000000000,15.6740000000,0.1537000000,REJECTED
NP002,TH,X13,2.5570000000,0.2230000000,0.6840000000,0.4280000000,0.7620000000,0.4130000000,1.9040000000,1.7850000000,0.5500000000,2.2420000000,1.8840000000,1.3000000000,,1.9940000000,0.0320000000,2.4340000000,0.0076000000,3.5500000000,0.0000000000,55.1290000000,0.0000000000,REJECTED
NP003,TH,X13,2.0440000000,0.2150000000,0.4700000000,1.4430000000,0.5730000000,0.1160000000,2.4480000000,1.6920000000,0.7910000000,2.4390000000,2.0810000000,1.3900000000,,1.5370000000,0.1227000000,2.3480000000,0.0101000000,12.3240000000,0.0000000000,23.8540000000,0.0134000000,REJECTED
NP004,TH,X13,2.6610000000,0.8260000000,0.8730000000,1.9840000000,1.1970000000,0.0860000000,2.3280000000,1.5230000000,0.8740000000,2.3840000000,2.1970000000,1.6000000000,,2.3590000000,0.0100000000,2.5430000000,0.0053000000,6.8550000000,0.0000000000,26.9260000000,0.0047000000,REJECTED
NU001,TH,X13,3.0000000000,3.0000000000,0.6490000000,2.3900000000,3.0000000000,0.1480000000,2.8460000000,2.3100000000,0.8540000000,3.0000000000,2.8820000000,2.1000000000,,0.9070000000,0.5346000000,0.9720000000,0.4734000000,4.6880000000,0.0000000000,41.6640000000,0.0000000000,REJECTED
NU002,TH,STL_FALLBACK,,,,,,,,,,,,,,,,,,,,,,
NU003,TH,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
NU004,TH,X13,0.3570000000,0.2360000000,0.0000000000,3.0000000000,3.0000000000,0.1120000000,2.7350000000,2.3950000000,0.6640000000,3.0000000000,3.0000000000,1.9600000000,,1.1370000000,0.3359000000,1.1750000000,0.3073000000,7.1900000000,0.0000000000,46.6480000000,0.0000000000,REJECTED
NP005,TH,X13,1.5980000000,0.1280000000,0.2870000000,1.4430000000,0.4680000000,0.3580000000,1.3220000000,1.3930000000,0.4280000000,1.3910000000,0.9870000000,0.9600000000,,5.4210000000,0.0000000000,8.8050000000,0.0000000000,7.9260000000,0.0000000000,77.1910000000,0.0000000000,CONDITIONALLY ACCEPTED
NP006,TH,X13,2.4210000000,0.3600000000,0.6050000000,0.8340000000,1.1070000000,0.1330000000,2.0440000000,1.6190000000,0.1950000000,2.2670000000,2.0970000000,1.3200000000,,1.8620000000,0.0479000000,2.3700000000,0.0094000000,4.2700000000,0.0000000000,82.7470000000,0.0000000000,REJECTED
FU016,TH,X13,2.6020000000,2.0690000000,0.7540000000,0.0450000000,3.0000000000,0.3970000000,2.3500000000,2.3070000000,0.4090000000,3.0000000000,3.0000000000,1.7600000000,,1.5570000000,0.1162000000,2.0540000000,0.0260000000,5.2300000000,0.0000000000,43.9980000000,0.0000000000,REJECTED
FU017,TH,X13,1.7890000000,0.4410000000,0.9940000000,0.1580000000,0.8380000000,0.9700000000,0.4900000000,0.4380000000,0.2620000000,0.2900000000,0.2480000000,0.6900000000,,18.3720000000,0.0000000000,25.2170000000,0.0000000000,1.6950000000,0.0617000000,106.7590000000,0.0000000000,ACCEPTED
FP016,TH,X13,2.8090000000,1.8050000000,0.9510000000,0.5640000000,1.2300000000,0.2550000000,2.2720000000,2.1940000000,0.7640000000,2.1140000000,1.9180000000,1.5300000000,,1.5170000000,0.1298000000,1.7450000000,0.0672000000,3.6690000000,0.0000000000,23.2340000000,0.0164000000,REJECTED
FP017,TH,X13,1.8230000000,0.8070000000,0.1780000000,2.0510000000,3.0000000000,0.0880000000,2.7000000000,2.5730000000,0.1250000000,3.0000000000,3.0000000000,1.8200000000,,0.9880000000,0.4591000000,1.2540000000,0.2550000000,7.3760000000,0.0000000000,33.6960000000,0.0004000000,REJECTED
FP018,TH,X13,3.0000000000,1.4950000000,0.9710000000,0.7660000000,3.0000000000,0.2910000000,2.7470000000,2.4000000000,0.4410000000,3.0000000000,3.0000000000,1.9700000000,,0.9410000000,0.5028000000,1.1490000000,0.3264000000,4.1070000000,0.0000000000,23.0080000000,0.0176000000,REJECTED
FP019,TH,X13,2.9500000000,0.7460000000,0.5050000000,1.8490000000,3.0000000000,0.1890000000,2.4810000000,1.4970000000,1.2960000000,3.0000000000,3.0000000000,1.9400000000,,1.7080000000,0.0756000000,2.1140000000,0.0216000000,6.4000000000,0.0000000000,28.6940000000,0.0025000000,REJECTED
FP020,TH,STL_FALLBACK,,,,,,,,,,,,,,,,,,,,,,
FP021,TH,X13,2.3200000000,0.8500000000,0.1930000000,1.1050000000,3.0000000000,0.1670000000,2.8080000000,1.7440000000,1.5970000000,3.0000000000,3.0000000000,1.8700000000,,0.9030000000,0.5388000000,1.0340000000,0.4186000000,8.0570000000,0.0000000000,15.0370000000,0.1808000000,REJECTED
FP022,TH,X13,2.9340000000,1.0970000000,0.8450000000,1.1720000000,3.0000000000,0.1120000000,2.7500000000,2.4840000000,0.6110000000,3.0000000000,3.0000000000,1.9800000000,,0.9890000000,0.4581000000,1.1430000000,0.3309000000,5.2510000000,0.0000000000,26.8540000000,0.0048000000,REJECTED
FP023,TH,X13,1.1790000000,0.2670000000,0.4440000000,0.6310000000,0.7230000000,0.2110000000,0.8740000000,1.1280000000,0.2870000000,1.4700000000,1.4330000000,0.7700000000,,9.3690000000,0.0000000000,10.7430000000,0.0000000000,3.1390000000,0.0002000000,85.0820000000,0.0000000000,ACCEPTED
