Month,Scope,Case_ID,Tier,Case_Type,Segment,Factor,Case_Name_TH,Input_Rebased,SA,SA_Floored,SA_Rebased,MA3_Centered
2014-04,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,49.4252873563,46.7036966797,46.7036966797,50.5257522534,48.8881222336
2014-05,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,52.8735632184,45.4489042252,45.4489042252,49.1682722852,48.1977207530
2014-06,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,40.2298850575,41.5027113056,41.5027113056,44.8991377204,44.8851870324
2014-07,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,36.7816091954,37.5178322505,37.5178322505,40.5881510916,42.8014442052
2014-08,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,47.1264367816,39.6705542580,39.6705542580,42.9170438036,45.0626652884
2014-09,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,47.1264367816,47.7732196436,47.7732196436,51.6828009700,49.9906032780
2014-10,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,48.2758620690,51.1833143575,51.1833143575,55.3719650603,53.8658795765
2014-11,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,50.5747126437,50.4169392630,50.4169392630,54.5428726991,54.1279513171
2014-12,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,41.3793103448,48.4999610699,48.4999610699,52.4690161920,53.3268725914
2015-01,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,44.8275862069,48.9618726479,48.9618726479,52.9687288831,51.8329114091
2015-02,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,40.2298850575,46.2740909057,46.2740909057,50.0609891523,46.2512144077
2015-03,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,37.9310344828,33.0215640888,33.0215640888,35.7239251876,44.7562358451
2015-04,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,45.9770114943,44.8162030309,44.8162030309,48.4837931953,45.5173875379
2015-05,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,56.3218390805,48.3848124411,48.3848124411,52.3444442309,48.4123055531
2015-06,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,42.5287356322,41.0493538908,41.0493538908,44.4086792330,47.2646724899
2015-07,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,40.2298850575,41.6337443386,41.6337443386,45.0408940058,50.2546631818
