Case_ID,Scope,Tier,Case_Type,Members,Status,Method,Reason,Signal_Contributors_N,Required_Contributors_N,Post_SA_Status,Post_SA_Pre_Max
FP020,TH,T1,keyword,FP020,FALLBACK,STL_FALLBACK,X13SeriesError: X-13 failed (exit 0): ERROR: Estimation failed to converge for automatically identified model,1,1,OK,98.3720334644
FP021,TH,T1,keyword,FP021,OK,X13,,1,1,OK,96.2090008342
FP022,TH,T1,keyword,FP022,OK,X13,,1,1,OK,96.0103857069
FP023,TH,T1,keyword,FP023,OK,X13,,1,1,OK,96.5901448757
FP024,TH,T1,keyword,FP024,OK,X13,,1,1,OK,91.6347524518
FP025,TH,T1,keyword,FP025,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,1,NO_SIGNAL,0.0000000000
FP026,TH,T1,keyword,FP026,OK,X13,,1,1,OK,96.2606978783
FP027,TH,T1,keyword,FP027,OK,X13,,1,1,OK,98.2939266494
FU018,TH,T1,keyword,FU018,OK,X13,,1,1,OK,93.3953095209
FU019,TH,T1,keyword,FU019,OK,X13,,1,1,OK,93.7091624035
FU020,TH,T1,keyword,FU020,OK,X13,,1,1,OK,97.0109206392
FU021,TH,T1,keyword,FU021,OK,X13,,1,1,OK,91.8550644139
FU022,TH,T1,keyword,FU022,OK,X13,,1,1,OK,109.7615212966
FU023,TH,T1,keyword,FU023,OK,X13,,1,1,OK,98.7821061135
FU024,TH,T1,keyword,FU024,OK,X13,,1,1,OK,99.1958458597
FU025,TH,T1,keyword,FU025,OK,X13,,1,1,OK,102.1768244783
FU026,TH,T1,keyword,FU026,OK,X13,,1,1,OK,95.2668388105
FU027,TH,T1,keyword,FU027,OK,X13,,1,1,OK,101.9100069841
TP005,TH,T1,keyword,TP005,OK,X13,,1,1,OK,98.0579912756
TP006,TH,T1,keyword,TP006,OK,X13,,1,1,OK,99.0632093867
TU006,TH,T1,keyword,TU006,OK,X13,,1,1,OK,99.3488003624
FP001,REG_ISAN20,T1,keyword,FP001,OK,X13,,14,20,OK,99.7352428088
FP002,REG_ISAN20,T1,keyword,FP002,FALLBACK,STL_FALLBACK,X13SeriesError: X-13 failed (exit 0): ERROR: Cannot perform automatic outlier identification if the robust,14,20,OK,99.2599101564
FP003,REG_ISAN20,T1,keyword,FP003,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
FP004,REG_ISAN20,T1,keyword,FP004,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
FP005,REG_ISAN20,T1,keyword,FP005,NO_SIGNAL,NO_SIGNAL,all pre-SA values are zero,0,0,NO_SIGNAL,0.0000000000
