Case_ID,Scope,Execution_Status,Diagnostic_Status,Quality_Status,Geo_Support_N,Geo_Support_Total,Coverage_Status,MA3_Endpoint_Provisional
FP022,TH,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP023,TH,SUCCESS,ACCEPTED,PASS,1,1,FULL,TRUE
FP024,TH,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP025,TH,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,1,PARTIAL,TRUE
FP026,TH,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP027,TH,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FU018,TH,SUCCESS,CONDITIONALLY REJECTED,REVIEW,1,1,FULL,TRUE
FU019,TH,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FU020,TH,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FU021,TH,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FU022,TH,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FU023,TH,SUCCESS,CONDITIONALLY ACCEPTED,REVIEW,1,1,FULL,TRUE
FU024,TH,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FU025,TH,SUCCESS,CONDITIONALLY REJECTED,REVIEW,1,1,FULL,TRUE
FU026,TH,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FU027,TH,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
TP005,TH,SUCCESS,CONDITIONALLY REJECTED,REVIEW,1,1,FULL,TRUE
TP006,TH,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
TU006,TH,SUCCESS,CONDITIONALLY ACCEPTED,REVIEW,1,1,FULL,TRUE
FP001,REG_ISAN20,SUCCESS,REJECTED,REVIEW,14,20,PARTIAL,TRUE
FP002,REG_ISAN20,FALLBACK,NOT_AVAILABLE,REVIEW,14,20,PARTIAL,TRUE
FP003,REG_ISAN20,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,20,PARTIAL,TRUE
FP004,REG_ISAN20,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,20,PARTIAL,TRUE
FP005,REG_ISAN20,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,20,PARTIAL,TRUE
FP006,REG_ISAN20,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,20,PARTIAL,TRUE
FP007,REG_ISAN20,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,20,PARTIAL,TRUE
FP008,REG_ISAN20,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,20,PARTIAL,TRUE
FP009,REG_ISAN20,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,20,PARTIAL,TRUE
FP010,REG_ISAN20,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,20,PARTIAL,TRUE
FP011,REG_ISAN20,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,20,PARTIAL,TRUE
FP012,REG_ISAN20,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,20,PARTIAL,TRUE
FP013,REG_ISAN20,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,20,PARTIAL,TRUE
FP014,REG_ISAN20,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,20,PARTIAL,TRUE
FU001,REG_ISAN20,FALLBACK,NOT_AVAILABLE,REVIEW,1,20,PARTIAL,TRUE
FU002,REG_ISAN20,SUCCESS,REJECTED,REVIEW,18,20,PARTIAL,TRUE
FU003,REG_ISAN20,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,20,PARTIAL,TRUE
FU004,REG_ISAN20,SUCCESS,REJECTED,REVIEW,20,20,FULL,TRUE
FU005,REG_ISAN20,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,20,PARTIAL,TRUE
FU006,REG_ISAN20,FALLBACK,NOT_AVAILABLE,REVIEW,1,20,PARTIAL,TRUE
FU007,REG_ISAN20,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,20,PARTIAL,TRUE
FU008,REG_ISAN20,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,20,PARTIAL,TRUE
FU009,REG_ISAN20,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,20,PARTIAL,TRUE
FU010,REG_ISAN20,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,20,PARTIAL,TRUE
FU011,REG_ISAN20,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,20,PARTIAL,TRUE
FU012,REG_ISAN20,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,20,PARTIAL,TRUE
FU013,REG_ISAN20,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,20,PARTIAL,TRUE
FU014,REG_ISAN20,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,20,PARTIAL,TRUE
FP015,REG_ISAN20,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,20,PARTIAL,TRUE
FU015,REG_ISAN20,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,20,PARTIAL,TRUE
TP001,REG_ISAN20,SUCCESS,REJECTED,REVIEW,11,20,PARTIAL,TRUE
TP002,REG_ISAN20,SUCCESS,REJECTED,REVIEW,1,20,PARTIAL,TRUE
TP003,REG_ISAN20,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,20,PARTIAL,TRUE
TP004,REG_ISAN20,SUCCESS,REJECTED,REVIEW,6,20,PARTIAL,TRUE
TU001,REG_ISAN20,SUCCESS,REJECTED,REVIEW,16,20,PARTIAL,TRUE
TU002,REG_ISAN20,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,20,PARTIAL,TRUE
TU003,REG_ISAN20,FALLBACK,NOT_AVAILABLE,REVIEW,1,20,PARTIAL,TRUE
TU004,REG_ISAN20,SUCCESS,REJECTED,REVIEW,2,20,PARTIAL,TRUE
TU005,REG_ISAN20,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,20,PARTIAL,TRUE
NP001,REG_ISAN20,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,20,PARTIAL,TRUE
NP002,REG_ISAN20,SUCCESS,REJECTED,REVIEW,11,20,PARTIAL,TRUE
NP003,REG_ISAN20,SUCCESS,REJECTED,REVIEW,11,20,PARTIAL,TRUE
NP004,REG_ISAN20,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,20,PARTIAL,TRUE
NU001,REG_ISAN20,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,20,PARTIAL,TRUE
NU002,REG_ISAN20,SUCCESS,REJECTED,REVIEW,6,20,PARTIAL,TRUE
NU003,REG_ISAN20,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,20,PARTIAL,TRUE
NU004,REG_ISAN20,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,20,PARTIAL,TRUE
NP005,REG_ISAN20,SUCCESS,REJECTED,REVIEW,20,20,FULL,TRUE
NP006,REG_ISAN20,SUCCESS,REJECTED,REVIEW,20,20,FULL,TRUE
FU016,REG_ISAN20,SUCCESS,REJECTED,REVIEW,20,20,FULL,TRUE
FU017,REG_ISAN20,SUCCESS,REJECTED,REVIEW,16,20,PARTIAL,TRUE
FP016,REG_ISAN20,SUCCESS,REJECTED,REVIEW,1,20,PARTIAL,TRUE
FP017,REG_ISAN20,SUCCESS,REJECTED,REVIEW,20,20,FULL,TRUE
FP018,REG_ISAN20,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,20,PARTIAL,TRUE
FP019,REG_ISAN20,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,20,PARTIAL,TRUE
FP020,REG_ISAN20,SUCCESS,REJECTED,REVIEW,11,20,PARTIAL,TRUE
FP021,REG_ISAN20,SUCCESS,REJECTED,REVIEW,20,20,FULL,TRUE
FP022,REG_ISAN20,SUCCESS,REJECTED,REVIEW,7,20,PARTIAL,TRUE
FP023,REG_ISAN20,SUCCESS,REJECTED,REVIEW,19,20,PARTIAL,TRUE
FP024,REG_ISAN20,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,20,PARTIAL,TRUE
FP025,REG_ISAN20,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,20,PARTIAL,TRUE
FP026,REG_ISAN20,SUCCESS,REJECTED,REVIEW,18,20,PARTIAL,TRUE
FP027,REG_ISAN20,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,20,PARTIAL,TRUE
FU018,REG_ISAN20,SUCCESS,REJECTED,REVIEW,11,20,PARTIAL,TRUE
