Month,Value
2004-01,0.0
2004-02,0.0
2004-03,0.0
2004-04,0.0
2004-05,0.0
2004-06,0.0
2004-07,0.0
2004-08,0.0
2004-09,0.0
2004-10,0.0
2004-11,0.0
2004-12,0.0
2005-01,0.0
2005-02,0.0
2005-03,0.0
2005-04,0.0
2005-05,0.0
2005-06,0.0
2005-07,0.0
2005-08,0.0
2005-09,0.0
2005-10,0.0
2005-11,0.0
2005-12,0.0
2006-01,0.0
2006-02,0.0
2006-03,0.0
2006-04,0.0
2006-05,0.0
2006-06,0.0
2006-07,28.0
2006-08,0.0
2006-09,0.0
2006-10,0.0
2006-11,0.0
2006-12,28.0
2007-01,0.0
2007-02,0.0
2007-03,0.0
2007-04,30.0
2007-05,34.0
2007-06,26.0
2007-07,33.0
2007-08,29.0
2007-09,23.0
2007-10,24.0
2007-11,25.0
2007-12,23.0
2008-01,19.0
2008-02,29.0
2008-03,35.0
2008-04,37.0
2008-05,25.0
2008-06,34.0
2008-07,35.0
2008-08,31.0
2008-09,47.0
2008-10,43.0
2008-11,33.0
2008-12,35.0
2009-01,36.0
2009-02,30.0
2009-03,37.0
2009-04,45.0
2009-05,45.0
2009-06,49.0
2009-07,50.0
2009-08,47.0
2009-09,52.0
2009-10,70.0
2009-11,100.0
2009-12,80.0
2010-01,45.0
2010-02,44.0
2010-03,43.0
2010-04,53.0
2010-05,54.0
2010-06,60.0
2010-07,47.0
2010-08,52.0
2010-09,49.0
2010-10,45.0
2010-11,50.0
2010-12,50.0
2011-01,37.0
2011-02,29.0
2011-03,34.0
2011-04,34.0
2011-05,42.0
2011-06,30.0
2011-07,35.0
2011-08,39.0
2011-09,32.0
2011-10,28.0
2011-11,29.0
2011-12,32.0
2012-01,33.0
2012-02,35.0
2012-03,41.0
2012-04,39.0
2012-05,41.0
2012-06,37.0
2012-07,37.0
2012-08,44.0
2012-09,37.0
2012-10,37.0
2012-11,46.0
2012-12,37.0
2013-01,37.0
2013-02,39.0
2013-03,36.0
2013-04,46.0
2013-05,47.0
2013-06,43.0
2013-07,42.0
2013-08,36.0
2013-09,32.0
2013-10,41.0
2013-11,39.0
2013-12,36.0
2014-01,34.0
2014-02,35.0
2014-03,40.0
2014-04,34.0
2014-05,41.0
2014-06,42.0
2014-07,41.0
2014-08,40.0
2014-09,39.0
2014-10,44.0
2014-11,47.0
2014-12,36.0
2015-01,32.0
2015-02,32.0
2015-03,39.0
2015-04,41.0
2015-05,42.0
2015-06,43.0
2015-07,46.0
2015-08,46.0
2015-09,36.0
2015-10,36.0
2015-11,38.0
2015-12,34.0
2016-01,30.0
2016-02,28.0
2016-03,31.0
2016-04,37.0
2016-05,34.0
2016-06,32.0
2016-07,35.0
2016-08,36.0
2016-09,36.0
2016-10,35.0
2016-11,40.0
2016-12,37.0
2017-01,33.0
2017-02,39.0
2017-03,51.0
2017-04,41.0
2017-05,43.0
2017-06,38.0
2017-07,39.0
2017-08,35.0
2017-09,33.0
2017-10,38.0
2017-11,36.0
2017-12,34.0
2018-01,32.0
2018-02,34.0
2018-03,31.0
2018-04,39.0
2018-05,36.0
2018-06,40.0
2018-07,33.0
2018-08,40.0
2018-09,38.0
2018-10,36.0
2018-11,40.0
2018-12,34.0
2019-01,30.0
2019-02,35.0
2019-03,36.0
2019-04,37.0
2019-05,39.0
2019-06,41.0
2019-07,39.0
2019-08,40.0
2019-09,39.0
2019-10,35.0
2019-11,37.0
2019-12,32.0
2020-01,32.0
2020-02,30.0
2020-03,32.0
2020-04,31.0
2020-05,27.0
2020-06,32.0
2020-07,34.0
2020-08,35.0
2020-09,36.0
2020-10,36.0
2020-11,35.0
2020-12,33.0
2021-01,34.0
2021-02,29.0
2021-03,29.0
2021-04,29.0
2021-05,30.0
2021-06,30.0
2021-07,29.0
2021-08,26.0
2021-09,24.0
2021-10,25.0
2021-11,23.0
2021-12,24.0
2022-01,24.0
2022-02,22.0
2022-03,21.0
2022-04,21.0
2022-05,20.0
2022-06,21.0
2022-07,20.0
2022-08,20.0
2022-09,19.0
2022-10,20.0
2022-11,18.0
2022-12,17.0
2023-01,13.0
2023-02,16.0
2023-03,15.0
2023-04,14.0
2023-05,16.0
2023-06,16.0
2023-07,14.0
2023-08,14.0
2023-09,16.0
2023-10,21.0
2023-11,23.0
2023-12,28.0
2024-01,21.0
2024-02,17.0
2024-03,16.0
2024-04,19.0
2024-05,16.0
2024-06,18.0
2024-07,19.0
2024-08,18.0
2024-09,17.0
2024-10,18.0
2024-11,18.0
2024-12,17.0
2025-01,15.0
2025-02,16.0
2025-03,16.0
2025-04,15.0
2025-05,16.0
2025-06,15.0
2025-07,16.0
2025-08,17.0
2025-09,15.0
2025-10,16.0
2025-11,12.0
2025-12,14.0
2026-01,13.0
2026-02,12.0
2026-03,17.0
2026-04,15.0
2026-05,15.0
2026-06,15.0
2026-07,18.0
