Month,Value
2004-01,15.0
2004-02,11.0
2004-03,9.0
2004-04,11.0
2004-05,8.0
2004-06,11.0
2004-07,14.0
2004-08,24.0
2004-09,14.0
2004-10,6.0
2004-11,7.0
2004-12,9.0
2005-01,11.0
2005-02,10.0
2005-03,8.0
2005-04,7.0
2005-05,8.0
2005-06,9.0
2005-07,11.0
2005-08,11.0
2005-09,11.0
2005-10,11.0
2005-11,11.0
2005-12,11.0
2006-01,11.0
2006-02,11.0
2006-03,9.0
2006-04,10.0
2006-05,9.0
2006-06,10.0
2006-07,10.0
2006-08,10.0
2006-09,10.0
2006-10,10.0
2006-11,9.0
2006-12,8.0
2007-01,10.0
2007-02,10.0
2007-03,10.0
2007-04,11.0
2007-05,10.0
2007-06,11.0
2007-07,11.0
2007-08,14.0
2007-09,14.0
2007-10,12.0
2007-11,12.0
2007-12,10.0
2008-01,11.0
2008-02,10.0
2008-03,10.0
2008-04,10.0
2008-05,10.0
2008-06,12.0
2008-07,13.0
2008-08,12.0
2008-09,12.0
2008-10,12.0
2008-11,12.0
2008-12,10.0
2009-01,11.0
2009-02,13.0
2009-03,11.0
2009-04,9.0
2009-05,12.0
2009-06,14.0
2009-07,14.0
2009-08,12.0
2009-09,13.0
2009-10,14.0
2009-11,19.0
2009-12,18.0
2010-01,14.0
2010-02,14.0
2010-03,13.0
2010-04,11.0
2010-05,12.0
2010-06,16.0
2010-07,15.0
2010-08,14.0
2010-09,14.0
2010-10,13.0
2010-11,11.0
2010-12,10.0
2011-01,10.0
2011-02,10.0
2011-03,9.0
2011-04,8.0
2011-05,11.0
2011-06,11.0
2011-07,11.0
2011-08,10.0
2011-09,9.0
2011-10,9.0
2011-11,9.0
2011-12,8.0
2012-01,9.0
2012-02,9.0
2012-03,8.0
2012-04,8.0
2012-05,10.0
2012-06,10.0
2012-07,10.0
2012-08,9.0
2012-09,8.0
2012-10,8.0
2012-11,8.0
2012-12,8.0
2013-01,8.0
2013-02,8.0
2013-03,8.0
2013-04,8.0
2013-05,11.0
2013-06,12.0
2013-07,12.0
2013-08,10.0
2013-09,11.0
2013-10,10.0
2013-11,9.0
2013-12,8.0
2014-01,10.0
2014-02,10.0
2014-03,13.0
2014-04,10.0
2014-05,10.0
2014-06,13.0
2014-07,12.0
2014-08,12.0
2014-09,12.0
2014-10,12.0
2014-11,11.0
2014-12,10.0
2015-01,11.0
2015-02,12.0
2015-03,11.0
2015-04,11.0
2015-05,12.0
2015-06,15.0
2015-07,16.0
2015-08,12.0
2015-09,16.0
2015-10,14.0
2015-11,13.0
2015-12,11.0
2016-01,9.0
2016-02,11.0
2016-03,10.0
2016-04,11.0
2016-05,12.0
2016-06,14.0
2016-07,19.0
2016-08,12.0
2016-09,15.0
2016-10,12.0
2016-11,13.0
2016-12,14.0
2017-01,16.0
2017-02,17.0
2017-03,17.0
2017-04,15.0
2017-05,21.0
2017-06,25.0
2017-07,21.0
2017-08,17.0
2017-09,18.0
2017-10,16.0
2017-11,16.0
2017-12,13.0
2018-01,16.0
2018-02,16.0
2018-03,14.0
2018-04,14.0
2018-05,16.0
2018-06,19.0
2018-07,23.0
2018-08,18.0
2018-09,20.0
2018-10,17.0
2018-11,16.0
2018-12,15.0
2019-01,15.0
2019-02,24.0
2019-03,34.0
2019-04,17.0
2019-05,20.0
2019-06,35.0
2019-07,45.0
2019-08,18.0
2019-09,19.0
2019-10,17.0
2019-11,18.0
2019-12,20.0
2020-01,38.0
2020-02,28.0
2020-03,72.0
2020-04,100.0
2020-05,28.0
2020-06,26.0
2020-07,25.0
2020-08,22.0
2020-09,23.0
2020-10,24.0
2020-11,30.0
2020-12,23.0
2021-01,39.0
2021-02,34.0
2021-03,23.0
2021-04,22.0
2021-05,30.0
2021-06,26.0
2021-07,49.0
2021-08,32.0
2021-09,21.0
2021-10,19.0
2021-11,19.0
2021-12,19.0
2022-01,22.0
2022-02,22.0
2022-03,21.0
2022-04,20.0
2022-05,21.0
2022-06,22.0
2022-07,23.0
2022-08,20.0
2022-09,24.0
2022-10,22.0
2022-11,26.0
2022-12,21.0
2023-01,19.0
2023-02,20.0
2023-03,18.0
2023-04,18.0
2023-05,20.0
2023-06,24.0
2023-07,23.0
2023-08,20.0
2023-09,22.0
2023-10,22.0
2023-11,21.0
2023-12,25.0
2024-01,23.0
2024-02,24.0
2024-03,22.0
2024-04,21.0
2024-05,22.0
2024-06,23.0
2024-07,25.0
2024-08,26.0
2024-09,25.0
2024-10,20.0
2024-11,21.0
2024-12,20.0
2025-01,22.0
2025-02,20.0
2025-03,21.0
2025-04,34.0
2025-05,30.0
2025-06,24.0
2025-07,34.0
2025-08,29.0
2025-09,22.0
2025-10,21.0
2025-11,22.0
2025-12,28.0
2026-01,25.0
2026-02,22.0
2026-03,83.0
2026-04,28.0
2026-05,27.0
2026-06,27.0
2026-07,30.0
