Month,Value
2004-01,37.0
2004-02,31.0
2004-03,0.0
2004-04,0.0
2004-05,0.0
2004-06,0.0
2004-07,30.0
2004-08,31.0
2004-09,28.0
2004-10,0.0
2004-11,26.0
2004-12,28.0
2005-01,24.0
2005-02,26.0
2005-03,39.0
2005-04,0.0
2005-05,21.0
2005-06,48.0
2005-07,25.0
2005-08,27.0
2005-09,26.0
2005-10,36.0
2005-11,24.0
2005-12,29.0
2006-01,31.0
2006-02,22.0
2006-03,20.0
2006-04,24.0
2006-05,25.0
2006-06,16.0
2006-07,22.0
2006-08,23.0
2006-09,23.0
2006-10,24.0
2006-11,19.0
2006-12,21.0
2007-01,17.0
2007-02,17.0
2007-03,24.0
2007-04,23.0
2007-05,22.0
2007-06,24.0
2007-07,19.0
2007-08,25.0
2007-09,19.0
2007-10,20.0
2007-11,22.0
2007-12,20.0
2008-01,17.0
2008-02,23.0
2008-03,20.0
2008-04,26.0
2008-05,21.0
2008-06,21.0
2008-07,18.0
2008-08,19.0
2008-09,22.0
2008-10,23.0
2008-11,22.0
2008-12,25.0
2009-01,25.0
2009-02,28.0
2009-03,26.0
2009-04,32.0
2009-05,33.0
2009-06,29.0
2009-07,32.0
2009-08,31.0
2009-09,32.0
2009-10,37.0
2009-11,33.0
2009-12,34.0
2010-01,30.0
2010-02,29.0
2010-03,39.0
2010-04,42.0
2010-05,35.0
2010-06,39.0
2010-07,35.0
2010-08,35.0
2010-09,36.0
2010-10,39.0
2010-11,35.0
2010-12,25.0
2011-01,27.0
2011-02,24.0
2011-03,24.0
2011-04,26.0
2011-05,27.0
2011-06,25.0
2011-07,25.0
2011-08,22.0
2011-09,26.0
2011-10,25.0
2011-11,23.0
2011-12,23.0
2012-01,23.0
2012-02,27.0
2012-03,29.0
2012-04,23.0
2012-05,24.0
2012-06,26.0
2012-07,28.0
2012-08,29.0
2012-09,27.0
2012-10,27.0
2012-11,30.0
2012-12,27.0
2013-01,24.0
2013-02,23.0
2013-03,25.0
2013-04,30.0
2013-05,28.0
2013-06,26.0
2013-07,29.0
2013-08,27.0
2013-09,30.0
2013-10,33.0
2013-11,33.0
2013-12,32.0
2014-01,31.0
2014-02,33.0
2014-03,35.0
2014-04,37.0
2014-05,38.0
2014-06,37.0
2014-07,32.0
2014-08,31.0
2014-09,33.0
2014-10,35.0
2014-11,32.0
2014-12,32.0
2015-01,27.0
2015-02,26.0
2015-03,29.0
2015-04,27.0
2015-05,30.0
2015-06,33.0
2015-07,31.0
2015-08,32.0
2015-09,32.0
2015-10,32.0
2015-11,36.0
2015-12,36.0
2016-01,30.0
2016-02,32.0
2016-03,40.0
2016-04,41.0
2016-05,43.0
2016-06,43.0
2016-07,41.0
2016-08,40.0
2016-09,45.0
2016-10,42.0
2016-11,42.0
2016-12,41.0
2017-01,38.0
2017-02,40.0
2017-03,43.0
2017-04,43.0
2017-05,44.0
2017-06,44.0
2017-07,43.0
2017-08,42.0
2017-09,42.0
2017-10,39.0
2017-11,39.0
2017-12,37.0
2018-01,35.0
2018-02,36.0
2018-03,39.0
2018-04,44.0
2018-05,40.0
2018-06,39.0
2018-07,38.0
2018-08,43.0
2018-09,42.0
2018-10,47.0
2018-11,45.0
2018-12,43.0
2019-01,38.0
2019-02,37.0
2019-03,40.0
2019-04,43.0
2019-05,44.0
2019-06,47.0
2019-07,50.0
2019-08,52.0
2019-09,50.0
2019-10,60.0
2019-11,63.0
2019-12,59.0
2020-01,56.0
2020-02,62.0
2020-03,69.0
2020-04,75.0
2020-05,66.0
2020-06,64.0
2020-07,80.0
2020-08,87.0
2020-09,74.0
2020-10,79.0
2020-11,87.0
2020-12,100.0
2021-01,83.0
2021-02,77.0
2021-03,77.0
2021-04,82.0
2021-05,89.0
2021-06,86.0
2021-07,100.0
2021-08,90.0
2021-09,68.0
2021-10,78.0
2021-11,69.0
2021-12,71.0
2022-01,56.0
2022-02,55.0
2022-03,69.0
2022-04,79.0
2022-05,86.0
2022-06,91.0
2022-07,87.0
2022-08,84.0
2022-09,76.0
2022-10,70.0
2022-11,62.0
2022-12,52.0
2023-01,48.0
2023-02,49.0
2023-03,51.0
2023-04,50.0
2023-05,50.0
2023-06,53.0
2023-07,52.0
2023-08,48.0
2023-09,51.0
2023-10,55.0
2023-11,52.0
2023-12,47.0
2024-01,45.0
2024-02,40.0
2024-03,42.0
2024-04,45.0
2024-05,42.0
2024-06,43.0
2024-07,42.0
2024-08,41.0
2024-09,37.0
2024-10,38.0
2024-11,38.0
2024-12,34.0
2025-01,29.0
2025-02,29.0
2025-03,33.0
2025-04,34.0
2025-05,32.0
2025-06,37.0
2025-07,36.0
2025-08,33.0
2025-09,31.0
2025-10,33.0
2025-11,28.0
2025-12,29.0
2026-01,24.0
2026-02,25.0
2026-03,26.0
2026-04,30.0
2026-05,30.0
2026-06,32.0
2026-07,28.0
