Month,Value
2004-01,0.0
2004-02,0.0
2004-03,0.0
2004-04,0.0
2004-05,0.0
2004-06,0.0
2004-07,0.0
2004-08,0.0
2004-09,0.0
2004-10,0.0
2004-11,0.0
2004-12,0.0
2005-01,0.0
2005-02,0.0
2005-03,0.0
2005-04,0.0
2005-05,0.0
2005-06,0.0
2005-07,0.0
2005-08,0.0
2005-09,0.0
2005-10,0.0
2005-11,0.0
2005-12,0.0
2006-01,0.0
2006-02,0.0
2006-03,0.0
2006-04,0.0
2006-05,0.0
2006-06,0.0
2006-07,0.0
2006-08,0.0
2006-09,0.0
2006-10,0.0
2006-11,0.0
2006-12,0.0
2007-01,0.0
2007-02,0.0
2007-03,0.0
2007-04,0.0
2007-05,0.0
2007-06,0.0
2007-07,0.0
2007-08,0.0
2007-09,0.0
2007-10,0.0
2007-11,0.0
2007-12,0.0
2008-01,0.0
2008-02,0.0
2008-03,0.0
2008-04,0.0
2008-05,0.0
2008-06,0.0
2008-07,14.0
2008-08,0.0
2008-09,0.0
2008-10,0.0
2008-11,0.0
2008-12,56.0
2009-01,18.0
2009-02,14.0
2009-03,13.0
2009-04,0.0
2009-05,13.0
2009-06,13.0
2009-07,12.0
2009-08,0.0
2009-09,13.0
2009-10,11.0
2009-11,11.0
2009-12,21.0
2010-01,16.0
2010-02,18.0
2010-03,13.0
2010-04,20.0
2010-05,19.0
2010-06,29.0
2010-07,32.0
2010-08,14.0
2010-09,22.0
2010-10,0.0
2010-11,10.0
2010-12,16.0
2011-01,18.0
2011-02,14.0
2011-03,13.0
2011-04,32.0
2011-05,23.0
2011-06,55.0
2011-07,24.0
2011-08,18.0
2011-09,17.0
2011-10,9.0
2011-11,13.0
2011-12,15.0
2012-01,14.0
2012-02,15.0
2012-03,14.0
2012-04,21.0
2012-05,22.0
2012-06,26.0
2012-07,19.0
2012-08,37.0
2012-09,33.0
2012-10,29.0
2012-11,29.0
2012-12,15.0
2013-01,17.0
2013-02,17.0
2013-03,30.0
2013-04,19.0
2013-05,29.0
2013-06,22.0
2013-07,25.0
2013-08,29.0
2013-09,27.0
2013-10,21.0
2013-11,28.0
2013-12,18.0
2014-01,21.0
2014-02,21.0
2014-03,24.0
2014-04,18.0
2014-05,21.0
2014-06,28.0
2014-07,32.0
2014-08,28.0
2014-09,30.0
2014-10,26.0
2014-11,34.0
2014-12,25.0
2015-01,28.0
2015-02,29.0
2015-03,45.0
2015-04,23.0
2015-05,30.0
2015-06,30.0
2015-07,33.0
2015-08,29.0
2015-09,34.0
2015-10,28.0
2015-11,30.0
2015-12,30.0
2016-01,21.0
2016-02,36.0
2016-03,34.0
2016-04,23.0
2016-05,29.0
2016-06,46.0
2016-07,37.0
2016-08,28.0
2016-09,31.0
2016-10,23.0
2016-11,29.0
2016-12,27.0
2017-01,33.0
2017-02,35.0
2017-03,32.0
2017-04,32.0
2017-05,38.0
2017-06,57.0
2017-07,48.0
2017-08,39.0
2017-09,37.0
2017-10,36.0
2017-11,36.0
2017-12,32.0
2018-01,37.0
2018-02,39.0
2018-03,42.0
2018-04,41.0
2018-05,39.0
2018-06,38.0
2018-07,40.0
2018-08,41.0
2018-09,52.0
2018-10,45.0
2018-11,44.0
2018-12,42.0
2019-01,65.0
2019-02,42.0
2019-03,47.0
2019-04,40.0
2019-05,44.0
2019-06,47.0
2019-07,46.0
2019-08,40.0
2019-09,43.0
2019-10,42.0
2019-11,43.0
2019-12,40.0
2020-01,44.0
2020-02,47.0
2020-03,40.0
2020-04,37.0
2020-05,41.0
2020-06,61.0
2020-07,46.0
2020-08,44.0
2020-09,53.0
2020-10,56.0
2020-11,50.0
2020-12,49.0
2021-01,47.0
2021-02,46.0
2021-03,48.0
2021-04,43.0
2021-05,50.0
2021-06,49.0
2021-07,47.0
2021-08,43.0
2021-09,52.0
2021-10,50.0
2021-11,47.0
2021-12,41.0
2022-01,67.0
2022-02,50.0
2022-03,51.0
2022-04,58.0
2022-05,58.0
2022-06,66.0
2022-07,60.0
2022-08,63.0
2022-09,62.0
2022-10,55.0
2022-11,50.0
2022-12,50.0
2023-01,55.0
2023-02,64.0
2023-03,62.0
2023-04,58.0
2023-05,68.0
2023-06,75.0
2023-07,76.0
2023-08,64.0
2023-09,70.0
2023-10,63.0
2023-11,67.0
2023-12,72.0
2024-01,60.0
2024-02,62.0
2024-03,67.0
2024-04,62.0
2024-05,62.0
2024-06,96.0
2024-07,72.0
2024-08,73.0
2024-09,66.0
2024-10,71.0
2024-11,77.0
2024-12,60.0
2025-01,63.0
2025-02,71.0
2025-03,64.0
2025-04,63.0
2025-05,76.0
2025-06,64.0
2025-07,64.0
2025-08,64.0
2025-09,69.0
2025-10,70.0
2025-11,73.0
2025-12,69.0
2026-01,83.0
2026-02,83.0
2026-03,78.0
2026-04,100.0
2026-05,87.0
2026-06,90.0
2026-07,97.0
