Month,Value
2004-01,0.0
2004-02,69.0
2004-03,0.0
2004-04,100.0
2004-05,0.0
2004-06,0.0
2004-07,58.0
2004-08,43.0
2004-09,0.0
2004-10,0.0
2004-11,53.0
2004-12,59.0
2005-01,71.0
2005-02,94.0
2005-03,60.0
2005-04,41.0
2005-05,46.0
2005-06,29.0
2005-07,36.0
2005-08,68.0
2005-09,57.0
2005-10,96.0
2005-11,53.0
2005-12,52.0
2006-01,56.0
2006-02,63.0
2006-03,37.0
2006-04,53.0
2006-05,63.0
2006-06,38.0
2006-07,57.0
2006-08,42.0
2006-09,42.0
2006-10,63.0
2006-11,56.0
2006-12,53.0
2007-01,65.0
2007-02,51.0
2007-03,65.0
2007-04,41.0
2007-05,51.0
2007-06,53.0
2007-07,67.0
2007-08,49.0
2007-09,52.0
2007-10,47.0
2007-11,45.0
2007-12,35.0
2008-01,47.0
2008-02,46.0
2008-03,48.0
2008-04,56.0
2008-05,50.0
2008-06,49.0
2008-07,52.0
2008-08,53.0
2008-09,80.0
2008-10,64.0
2008-11,62.0
2008-12,48.0
2009-01,53.0
2009-02,88.0
2009-03,71.0
2009-04,49.0
2009-05,65.0
2009-06,67.0
2009-07,54.0
2009-08,55.0
2009-09,61.0
2009-10,52.0
2009-11,72.0
2009-12,47.0
2010-01,62.0
2010-02,58.0
2010-03,60.0
2010-04,72.0
2010-05,62.0
2010-06,68.0
2010-07,57.0
2010-08,51.0
2010-09,55.0
2010-10,42.0
2010-11,53.0
2010-12,46.0
2011-01,40.0
2011-02,38.0
2011-03,48.0
2011-04,28.0
2011-05,34.0
2011-06,37.0
2011-07,38.0
2011-08,32.0
2011-09,36.0
2011-10,30.0
2011-11,41.0
2011-12,28.0
2012-01,39.0
2012-02,37.0
2012-03,36.0
2012-04,34.0
2012-05,39.0
2012-06,53.0
2012-07,39.0
2012-08,38.0
2012-09,35.0
2012-10,36.0
2012-11,36.0
2012-12,27.0
2013-01,30.0
2013-02,35.0
2013-03,34.0
2013-04,29.0
2013-05,29.0
2013-06,30.0
2013-07,34.0
2013-08,31.0
2013-09,28.0
2013-10,29.0
2013-11,27.0
2013-12,21.0
2014-01,32.0
2014-02,31.0
2014-03,30.0
2014-04,25.0
2014-05,25.0
2014-06,26.0
2014-07,36.0
2014-08,34.0
2014-09,29.0
2014-10,66.0
2014-11,38.0
2014-12,26.0
2015-01,30.0
2015-02,32.0
2015-03,30.0
2015-04,26.0
2015-05,29.0
2015-06,32.0
2015-07,36.0
2015-08,42.0
2015-09,31.0
2015-10,29.0
2015-11,29.0
2015-12,24.0
2016-01,25.0
2016-02,30.0
2016-03,30.0
2016-04,22.0
2016-05,24.0
2016-06,23.0
2016-07,23.0
2016-08,24.0
2016-09,40.0
2016-10,25.0
2016-11,29.0
2016-12,23.0
2017-01,27.0
2017-02,33.0
2017-03,35.0
2017-04,33.0
2017-05,28.0
2017-06,32.0
2017-07,27.0
2017-08,33.0
2017-09,37.0
2017-10,31.0
2017-11,33.0
2017-12,28.0
2018-01,31.0
2018-02,35.0
2018-03,34.0
2018-04,31.0
2018-05,34.0
2018-06,32.0
2018-07,34.0
2018-08,32.0
2018-09,69.0
2018-10,35.0
2018-11,35.0
2018-12,31.0
2019-01,44.0
2019-02,38.0
2019-03,44.0
2019-04,31.0
2019-05,38.0
2019-06,32.0
2019-07,30.0
2019-08,32.0
2019-09,41.0
2019-10,40.0
2019-11,33.0
2019-12,28.0
2020-01,32.0
2020-02,32.0
2020-03,40.0
2020-04,34.0
2020-05,82.0
2020-06,40.0
2020-07,60.0
2020-08,70.0
2020-09,46.0
2020-10,37.0
2020-11,41.0
2020-12,33.0
2021-01,34.0
2021-02,35.0
2021-03,37.0
2021-04,28.0
2021-05,31.0
2021-06,29.0
2021-07,33.0
2021-08,35.0
2021-09,32.0
2021-10,34.0
2021-11,34.0
2021-12,31.0
2022-01,41.0
2022-02,41.0
2022-03,41.0
2022-04,38.0
2022-05,45.0
2022-06,57.0
2022-07,50.0
2022-08,40.0
2022-09,43.0
2022-10,37.0
2022-11,51.0
2022-12,34.0
2023-01,41.0
2023-02,45.0
2023-03,54.0
2023-04,38.0
2023-05,45.0
2023-06,45.0
2023-07,43.0
2023-08,47.0
2023-09,53.0
2023-10,43.0
2023-11,56.0
2023-12,46.0
2024-01,47.0
2024-02,47.0
2024-03,56.0
2024-04,37.0
2024-05,43.0
2024-06,49.0
2024-07,46.0
2024-08,47.0
2024-09,50.0
2024-10,47.0
2024-11,53.0
2024-12,45.0
2025-01,55.0
2025-02,49.0
2025-03,53.0
2025-04,45.0
2025-05,46.0
2025-06,66.0
2025-07,57.0
2025-08,49.0
2025-09,57.0
2025-10,54.0
2025-11,51.0
2025-12,50.0
2026-01,49.0
2026-02,50.0
2026-03,55.0
2026-04,47.0
2026-05,51.0
2026-06,56.0
2026-07,62.0
