Month,Value
2004-01,0.0
2004-02,0.0
2004-03,0.0
2004-04,0.0
2004-05,0.0
2004-06,0.0
2004-07,0.0
2004-08,0.0
2004-09,0.0
2004-10,0.0
2004-11,0.0
2004-12,0.0
2005-01,0.0
2005-02,0.0
2005-03,0.0
2005-04,0.0
2005-05,0.0
2005-06,0.0
2005-07,0.0
2005-08,0.0
2005-09,0.0
2005-10,0.0
2005-11,0.0
2005-12,0.0
2006-01,0.0
2006-02,0.0
2006-03,0.0
2006-04,0.0
2006-05,0.0
2006-06,38.0
2006-07,0.0
2006-08,31.0
2006-09,0.0
2006-10,0.0
2006-11,0.0
2006-12,0.0
2007-01,33.0
2007-02,0.0
2007-03,0.0
2007-04,45.0
2007-05,0.0
2007-06,37.0
2007-07,26.0
2007-08,32.0
2007-09,28.0
2007-10,36.0
2007-11,38.0
2007-12,20.0
2008-01,26.0
2008-02,25.0
2008-03,25.0
2008-04,25.0
2008-05,31.0
2008-06,33.0
2008-07,39.0
2008-08,46.0
2008-09,40.0
2008-10,32.0
2008-11,37.0
2008-12,29.0
2009-01,34.0
2009-02,34.0
2009-03,27.0
2009-04,27.0
2009-05,32.0
2009-06,31.0
2009-07,43.0
2009-08,32.0
2009-09,35.0
2009-10,37.0
2009-11,30.0
2009-12,39.0
2010-01,24.0
2010-02,29.0
2010-03,28.0
2010-04,0.0
2010-05,37.0
2010-06,42.0
2010-07,32.0
2010-08,47.0
2010-09,37.0
2010-10,44.0
2010-11,46.0
2010-12,38.0
2011-01,26.0
2011-02,24.0
2011-03,22.0
2011-04,20.0
2011-05,35.0
2011-06,37.0
2011-07,26.0
2011-08,30.0
2011-09,23.0
2011-10,21.0
2011-11,20.0
2011-12,22.0
2012-01,24.0
2012-02,19.0
2012-03,21.0
2012-04,20.0
2012-05,26.0
2012-06,27.0
2012-07,22.0
2012-08,24.0
2012-09,21.0
2012-10,21.0
2012-11,25.0
2012-12,23.0
2013-01,20.0
2013-02,19.0
2013-03,23.0
2013-04,22.0
2013-05,22.0
2013-06,26.0
2013-07,26.0
2013-08,24.0
2013-09,24.0
2013-10,23.0
2013-11,23.0
2013-12,23.0
2014-01,23.0
2014-02,25.0
2014-03,24.0
2014-04,19.0
2014-05,21.0
2014-06,25.0
2014-07,28.0
2014-08,27.0
2014-09,23.0
2014-10,23.0
2014-11,21.0
2014-12,27.0
2015-01,24.0
2015-02,25.0
2015-03,27.0
2015-04,24.0
2015-05,22.0
2015-06,28.0
2015-07,28.0
2015-08,22.0
2015-09,32.0
2015-10,23.0
2015-11,28.0
2015-12,23.0
2016-01,15.0
2016-02,19.0
2016-03,18.0
2016-04,18.0
2016-05,18.0
2016-06,20.0
2016-07,14.0
2016-08,22.0
2016-09,22.0
2016-10,22.0
2016-11,23.0
2016-12,20.0
2017-01,23.0
2017-02,24.0
2017-03,26.0
2017-04,19.0
2017-05,26.0
2017-06,29.0
2017-07,27.0
2017-08,30.0
2017-09,26.0
2017-10,25.0
2017-11,29.0
2017-12,26.0
2018-01,29.0
2018-02,26.0
2018-03,26.0
2018-04,25.0
2018-05,30.0
2018-06,26.0
2018-07,29.0
2018-08,29.0
2018-09,26.0
2018-10,29.0
2018-11,31.0
2018-12,25.0
2019-01,26.0
2019-02,26.0
2019-03,30.0
2019-04,24.0
2019-05,33.0
2019-06,27.0
2019-07,25.0
2019-08,27.0
2019-09,31.0
2019-10,23.0
2019-11,26.0
2019-12,23.0
2020-01,26.0
2020-02,34.0
2020-03,100.0
2020-04,94.0
2020-05,34.0
2020-06,31.0
2020-07,29.0
2020-08,28.0
2020-09,30.0
2020-10,28.0
2020-11,31.0
2020-12,29.0
2021-01,39.0
2021-02,40.0
2021-03,37.0
2021-04,33.0
2021-05,38.0
2021-06,38.0
2021-07,39.0
2021-08,36.0
2021-09,32.0
2021-10,29.0
2021-11,29.0
2021-12,31.0
2022-01,36.0
2022-02,39.0
2022-03,36.0
2022-04,34.0
2022-05,38.0
2022-06,39.0
2022-07,31.0
2022-08,30.0
2022-09,35.0
2022-10,28.0
2022-11,33.0
2022-12,32.0
2023-01,31.0
2023-02,35.0
2023-03,32.0
2023-04,27.0
2023-05,29.0
2023-06,35.0
2023-07,33.0
2023-08,33.0
2023-09,33.0
2023-10,31.0
2023-11,38.0
2023-12,32.0
2024-01,38.0
2024-02,42.0
2024-03,40.0
2024-04,38.0
2024-05,37.0
2024-06,40.0
2024-07,47.0
2024-08,43.0
2024-09,47.0
2024-10,39.0
2024-11,42.0
2024-12,47.0
2025-01,40.0
2025-02,44.0
2025-03,40.0
2025-04,41.0
2025-05,47.0
2025-06,42.0
2025-07,49.0
2025-08,43.0
2025-09,48.0
2025-10,43.0
2025-11,42.0
2025-12,41.0
2026-01,42.0
2026-02,41.0
2026-03,44.0
2026-04,47.0
2026-05,50.0
2026-06,47.0
2026-07,49.0
