Month,Value
2004-01,0.0
2004-02,0.0
2004-03,0.0
2004-04,0.0
2004-05,0.0
2004-06,0.0
2004-07,0.0
2004-08,0.0
2004-09,0.0
2004-10,0.0
2004-11,0.0
2004-12,0.0
2005-01,0.0
2005-02,0.0
2005-03,0.0
2005-04,0.0
2005-05,0.0
2005-06,0.0
2005-07,0.0
2005-08,0.0
2005-09,0.0
2005-10,0.0
2005-11,0.0
2005-12,0.0
2006-01,0.0
2006-02,0.0
2006-03,0.0
2006-04,0.0
2006-05,0.0
2006-06,0.0
2006-07,0.0
2006-08,0.0
2006-09,0.0
2006-10,0.0
2006-11,0.0
2006-12,0.0
2007-01,0.0
2007-02,0.0
2007-03,0.0
2007-04,0.0
2007-05,0.0
2007-06,0.0
2007-07,0.0
2007-08,0.0
2007-09,0.0
2007-10,0.0
2007-11,0.0
2007-12,0.0
2008-01,0.0
2008-02,0.0
2008-03,0.0
2008-04,0.0
2008-05,0.0
2008-06,0.0
2008-07,0.0
2008-08,49.0
2008-09,0.0
2008-10,0.0
2008-11,0.0
2008-12,50.0
2009-01,0.0
2009-02,45.0
2009-03,42.0
2009-04,0.0
2009-05,64.0
2009-06,43.0
2009-07,46.0
2009-08,41.0
2009-09,73.0
2009-10,55.0
2009-11,37.0
2009-12,55.0
2010-01,59.0
2010-02,42.0
2010-03,41.0
2010-04,50.0
2010-05,43.0
2010-06,67.0
2010-07,63.0
2010-08,57.0
2010-09,54.0
2010-10,79.0
2010-11,42.0
2010-12,0.0
2011-01,48.0
2011-02,33.0
2011-03,42.0
2011-04,38.0
2011-05,56.0
2011-06,34.0
2011-07,50.0
2011-08,53.0
2011-09,24.0
2011-10,33.0
2011-11,40.0
2011-12,40.0
2012-01,26.0
2012-02,45.0
2012-03,42.0
2012-04,35.0
2012-05,50.0
2012-06,29.0
2012-07,35.0
2012-08,42.0
2012-09,42.0
2012-10,47.0
2012-11,52.0
2012-12,39.0
2013-01,43.0
2013-02,45.0
2013-03,52.0
2013-04,45.0
2013-05,62.0
2013-06,70.0
2013-07,62.0
2013-08,59.0
2013-09,50.0
2013-10,64.0
2013-11,59.0
2013-12,57.0
2014-01,51.0
2014-02,59.0
2014-03,61.0
2014-04,60.0
2014-05,77.0
2014-06,64.0
2014-07,76.0
2014-08,67.0
2014-09,70.0
2014-10,78.0
2014-11,75.0
2014-12,63.0
2015-01,59.0
2015-02,62.0
2015-03,65.0
2015-04,70.0
2015-05,69.0
2015-06,93.0
2015-07,85.0
2015-08,61.0
2015-09,85.0
2015-10,74.0
2015-11,82.0
2015-12,70.0
2016-01,60.0
2016-02,60.0
2016-03,57.0
2016-04,62.0
2016-05,66.0
2016-06,63.0
2016-07,62.0
2016-08,74.0
2016-09,62.0
2016-10,60.0
2016-11,67.0
2016-12,46.0
2017-01,67.0
2017-02,74.0
2017-03,83.0
2017-04,65.0
2017-05,81.0
2017-06,98.0
2017-07,100.0
2017-08,93.0
2017-09,77.0
2017-10,63.0
2017-11,78.0
2017-12,62.0
2018-01,85.0
2018-02,66.0
2018-03,81.0
2018-04,73.0
2018-05,81.0
2018-06,82.0
2018-07,74.0
2018-08,77.0
2018-09,91.0
2018-10,69.0
2018-11,85.0
2018-12,67.0
2019-01,67.0
2019-02,49.0
2019-03,69.0
2019-04,97.0
2019-05,92.0
2019-06,78.0
2019-07,71.0
2019-08,63.0
2019-09,73.0
2019-10,75.0
2019-11,67.0
2019-12,59.0
2020-01,66.0
2020-02,76.0
2020-03,64.0
2020-04,50.0
2020-05,59.0
2020-06,56.0
2020-07,59.0
2020-08,58.0
2020-09,67.0
2020-10,62.0
2020-11,70.0
2020-12,58.0
2021-01,60.0
2021-02,51.0
2021-03,70.0
2021-04,52.0
2021-05,55.0
2021-06,62.0
2021-07,55.0
2021-08,49.0
2021-09,53.0
2021-10,60.0
2021-11,59.0
2021-12,46.0
2022-01,67.0
2022-02,74.0
2022-03,68.0
2022-04,58.0
2022-05,59.0
2022-06,77.0
2022-07,60.0
2022-08,73.0
2022-09,72.0
2022-10,67.0
2022-11,73.0
2022-12,61.0
2023-01,67.0
2023-02,77.0
2023-03,73.0
2023-04,67.0
2023-05,72.0
2023-06,81.0
2023-07,80.0
2023-08,82.0
2023-09,74.0
2023-10,75.0
2023-11,69.0
2023-12,62.0
2024-01,72.0
2024-02,60.0
2024-03,74.0
2024-04,70.0
2024-05,79.0
2024-06,79.0
2024-07,85.0
2024-08,77.0
2024-09,69.0
2024-10,68.0
2024-11,62.0
2024-12,66.0
2025-01,69.0
2025-02,62.0
2025-03,66.0
2025-04,59.0
2025-05,72.0
2025-06,73.0
2025-07,64.0
2025-08,80.0
2025-09,74.0
2025-10,70.0
2025-11,78.0
2025-12,52.0
2026-01,66.0
2026-02,68.0
2026-03,62.0
2026-04,64.0
2026-05,62.0
2026-06,67.0
2026-07,78.0
