Month,Value
2004-01,0.0
2004-02,0.0
2004-03,0.0
2004-04,0.0
2004-05,0.0
2004-06,0.0
2004-07,0.0
2004-08,0.0
2004-09,0.0
2004-10,0.0
2004-11,0.0
2004-12,0.0
2005-01,0.0
2005-02,0.0
2005-03,0.0
2005-04,0.0
2005-05,0.0
2005-06,0.0
2005-07,0.0
2005-08,0.0
2005-09,0.0
2005-10,0.0
2005-11,0.0
2005-12,0.0
2006-01,0.0
2006-02,0.0
2006-03,0.0
2006-04,0.0
2006-05,0.0
2006-06,0.0
2006-07,0.0
2006-08,0.0
2006-09,0.0
2006-10,0.0
2006-11,0.0
2006-12,0.0
2007-01,24.0
2007-02,0.0
2007-03,0.0
2007-04,0.0
2007-05,0.0
2007-06,0.0
2007-07,15.0
2007-08,0.0
2007-09,0.0
2007-10,11.0
2007-11,10.0
2007-12,0.0
2008-01,36.0
2008-02,12.0
2008-03,13.0
2008-04,0.0
2008-05,0.0
2008-06,16.0
2008-07,0.0
2008-08,0.0
2008-09,0.0
2008-10,10.0
2008-11,0.0
2008-12,31.0
2009-01,22.0
2009-02,19.0
2009-03,15.0
2009-04,12.0
2009-05,14.0
2009-06,18.0
2009-07,14.0
2009-08,12.0
2009-09,13.0
2009-10,8.0
2009-11,13.0
2009-12,10.0
2010-01,14.0
2010-02,11.0
2010-03,14.0
2010-04,21.0
2010-05,23.0
2010-06,7.0
2010-07,13.0
2010-08,11.0
2010-09,16.0
2010-10,15.0
2010-11,12.0
2010-12,13.0
2011-01,10.0
2011-02,8.0
2011-03,10.0
2011-04,6.0
2011-05,18.0
2011-06,14.0
2011-07,13.0
2011-08,10.0
2011-09,18.0
2011-10,12.0
2011-11,14.0
2011-12,12.0
2012-01,13.0
2012-02,14.0
2012-03,12.0
2012-04,11.0
2012-05,11.0
2012-06,15.0
2012-07,21.0
2012-08,26.0
2012-09,13.0
2012-10,14.0
2012-11,12.0
2012-12,10.0
2013-01,11.0
2013-02,20.0
2013-03,12.0
2013-04,13.0
2013-05,33.0
2013-06,16.0
2013-07,11.0
2013-08,12.0
2013-09,10.0
2013-10,12.0
2013-11,15.0
2013-12,12.0
2014-01,13.0
2014-02,12.0
2014-03,16.0
2014-04,9.0
2014-05,10.0
2014-06,14.0
2014-07,12.0
2014-08,8.0
2014-09,13.0
2014-10,9.0
2014-11,12.0
2014-12,12.0
2015-01,13.0
2015-02,16.0
2015-03,34.0
2015-04,20.0
2015-05,23.0
2015-06,18.0
2015-07,13.0
2015-08,16.0
2015-09,17.0
2015-10,18.0
2015-11,18.0
2015-12,15.0
2016-01,13.0
2016-02,16.0
2016-03,17.0
2016-04,16.0
2016-05,11.0
2016-06,19.0
2016-07,12.0
2016-08,16.0
2016-09,17.0
2016-10,12.0
2016-11,14.0
2016-12,18.0
2017-01,19.0
2017-02,22.0
2017-03,19.0
2017-04,17.0
2017-05,25.0
2017-06,19.0
2017-07,16.0
2017-08,16.0
2017-09,19.0
2017-10,18.0
2017-11,20.0
2017-12,14.0
2018-01,21.0
2018-02,19.0
2018-03,23.0
2018-04,25.0
2018-05,30.0
2018-06,26.0
2018-07,23.0
2018-08,26.0
2018-09,23.0
2018-10,22.0
2018-11,20.0
2018-12,18.0
2019-01,24.0
2019-02,24.0
2019-03,23.0
2019-04,22.0
2019-05,23.0
2019-06,25.0
2019-07,26.0
2019-08,55.0
2019-09,30.0
2019-10,25.0
2019-11,43.0
2019-12,22.0
2020-01,26.0
2020-02,52.0
2020-03,100.0
2020-04,79.0
2020-05,48.0
2020-06,33.0
2020-07,25.0
2020-08,26.0
2020-09,26.0
2020-10,21.0
2020-11,23.0
2020-12,22.0
2021-01,33.0
2021-02,30.0
2021-03,30.0
2021-04,23.0
2021-05,28.0
2021-06,27.0
2021-07,21.0
2021-08,24.0
2021-09,24.0
2021-10,21.0
2021-11,22.0
2021-12,20.0
2022-01,35.0
2022-02,33.0
2022-03,29.0
2022-04,25.0
2022-05,27.0
2022-06,30.0
2022-07,25.0
2022-08,22.0
2022-09,27.0
2022-10,32.0
2022-11,31.0
2022-12,28.0
2023-01,36.0
2023-02,35.0
2023-03,30.0
2023-04,28.0
2023-05,34.0
2023-06,29.0
2023-07,29.0
2023-08,29.0
2023-09,30.0
2023-10,26.0
2023-11,31.0
2023-12,30.0
2024-01,42.0
2024-02,44.0
2024-03,42.0
2024-04,56.0
2024-05,44.0
2024-06,38.0
2024-07,40.0
2024-08,44.0
2024-09,76.0
2024-10,65.0
2024-11,41.0
2024-12,47.0
2025-01,42.0
2025-02,56.0
2025-03,43.0
2025-04,39.0
2025-05,38.0
2025-06,33.0
2025-07,36.0
2025-08,62.0
2025-09,68.0
2025-10,55.0
2025-11,33.0
2025-12,60.0
2026-01,38.0
2026-02,48.0
2026-03,35.0
2026-04,31.0
2026-05,31.0
2026-06,36.0
2026-07,32.0
